abbrev	abbrev@1.0.9
mocha/node_modules/minimist	minimist@0.0.8
mocha/node_modules/mkdirp	mkdirp@0.5.1
mocha/node_modules/ms	ms@2.0.0
mocha/node_modules/supports-color	supports-color@3.1.2
moment	moment@2.30.1
ms	ms@2.1.3
multipipe	multipipe@0.1.2
mute-stream	mute-stream@0.0.7
namify	namify@0.1.3
nanomatch	nanomatch@1.2.13
nanomatch/node_modules/assign-symbols	assign-symbols@1.0.0
nanomatch/node_modules/define-property	define-property@2.0.2
nanomatch/node_modules/extend-shallow	extend-shallow@3.0.2
nanomatch/node_modules/is-extendable	is-extendable@1.0.1
natives	natives@1.1.6
natural-compare	natural-compare@1.4.0
neo-async	neo-async@2.6.2
no-case	no-case@2.3.2
noncharacters	noncharacters@1.1.0
nopt	nopt@3.0.6
normalize-path	normalize-path@2.1.1
normalize-pkg	normalize-pkg@0.3.20
normalize-pkg/node_modules/kind-of	kind-of@3.2.2
normalize-pkg/node_modules/semver	semver@5.7.2
object-assign	object-assign@4.1.1
object-copy	object-copy@0.1.0
object-copy/node_modules/define-property	define-property@0.2.5
object-copy/node_modules/is-descriptor	is-descriptor@0.1.8
object-copy/node_modules/kind-of	kind-of@3.2.2
object-visit	object-visit@1.0.1
object.defaults	object.defaults@1.1.0
object.map	object.map@1.0.1
object.omit	object.omit@2.0.1
object.omit/node_modules/for-own	for-own@0.1.5
object.pick	object.pick@1.3.0
omit-empty	omit-empty@0.4.1
omit-empty/node_modules/has-values	has-values@0.1.4
omit-empty/node_modules/kind-of	kind-of@3.2.2
once	once@1.4.0
onetime	onetime@2.0.1
option-cache	option-cache@3.5.0
option-cache/node_modules/has-value	has-value@0.3.1
option-cache/node_modules/has-values	has-values@0.1.4
option-cache/node_modules/isobject	isobject@2.1.0
option-cache/node_modules/kind-of	kind-of@3.2.2
option-cache/node_modules/set-value	set-value@0.4.3
optionator	optionator@0.8.3
ora	ora@2.1.0
ora/node_modules/ansi-regex	ansi-regex@3.0.1
ora/node_modules/ansi-styles	ansi-styles@3.2.1
ora/node_modules/chalk	chalk@2.4.2
ora/node_modules/strip-ansi	strip-ansi@4.0.0
ora/node_modules/supports-color	supports-color@5.5.0
orchestrator	orchestrator@0.3.8
ordered-read-streams	ordered-read-streams@0.1.0
os-homedir	os-homedir@1.0.2
os-tmpdir	os-tmpdir@1.0.2
pad-right	pad-right@0.2.2
paginationator	paginationator@0.1.4
parse-author	parse-author@1.0.0
parse-code-context	parse-code-context@0.1.3
parse-comments	parse-comments@0.4.3
parse-comments/node_modules/gfm-code-block-regex	gfm-code-block-regex@0.2.3
parse-comments/node_modules/gfm-code-blocks	gfm-code-blocks@0.2.2
parse-comments/node_modules/lodash	lodash@3.10.1
parse-copyright	parse-copyright@0.4.0
parse-filepath	parse-filepath@1.0.2
parse-git-config	parse-git-config@1.1.1
parse-github-url	parse-github-url@0.3.2
parse-glob	parse-glob@3.0.4
parse-glob/node_modules/is-extglob	is-extglob@1.0.0
parse-glob/node_modules/is-glob	is-glob@2.0.1
parse-link-header	parse-link-header@0.4.1
parse-node-version	parse-node-version@1.0.1
parse-passwd	parse-passwd@1.0.0
parser-front-matter	parser-front-matter@1.6.4
parser-front-matter/node_modules/gray-matter	gray-matter@3.1.1
parser-front-matter/node_modules/kind-of	kind-of@5.1.0
pascalcase	pascalcase@0.1.1
path-is-absolute	path-is-absolute@1.0.1
path-is-inside	path-is-inside@1.0.2
path-root	path-root@0.1.1
path-root-regex	path-root-regex@0.1.2
path-to-regexp	path-to-regexp@1.9.0
path-to-regexp/node_modules/isarray	isarray@0.0.1
pkg-homepage	pkg-homepage@0.1.1
pkg-homepage/node_modules/isobject	isobject@2.1.0
pkg-homepage/node_modules/lazy-cache	lazy-cache@1.0.4
plugin-error	plugin-error@1.0.1
plugin-error/node_modules/ansi-colors	ansi-colors@1.1.0
plugin-error/node_modules/assign-symbols	assign-symbols@1.0.0
plugin-error/node_modules/extend-shallow	extend-shallow@3.0.2
plugin-error/node_modules/is-extendable	is-extendable@1.0.1
plur	plur@2.1.2
pluralize	pluralize@7.0.0
posix-character-classes	posix-character-classes@0.1.1
prelude-ls	prelude-ls@1.1.2
preserve	preserve@0.2.0
pretty-hrtime	pretty-hrtime@1.0.3
pretty-remarkable	pretty-remarkable@0.4.1
process-nextick-args	process-nextick-args@2.0.1
progress	progress@2.0.3
project-name	project-name@0.2.6
pseudomap	pseudomap@1.0.2
punycode	punycode@1.4.1
randomatic	randomatic@3.1.1
read-file	read-file@0.2.0
readable-stream	readable-stream@2.3.8
rechoir	rechoir@0.6.2
reduce-object	reduce-object@0.1.3
reduce-object/node_modules/for-own	for-own@0.1.5
reflinks	reflinks@0.3.6
reflinks/node_modules/assign-symbols	assign-symbols@1.0.0
reflinks/node_modules/extend-shallow	extend-shallow@3.0.2
reflinks/node_modules/is-extendable	is-extendable@1.0.1
regex-cache	regex-cache@0.4.4
regex-not	regex-not@1.0.2
regex-not/node_modules/assign-symbols	assign-symbols@1.0.0
regex-not/node_modules/extend-shallow	extend-shallow@3.0.2
regex-not/node_modules/is-extendable	is-extendable@1.0.1
regexpp	regexpp@1.1.0
relative	relative@3.0.2
relative/node_modules/isobject	isobject@2.1.0
remarkable	remarkable@1.7.4
remote-origin-url	remote-origin-url@0.5.3
remove-trailing-separator	remove-trailing-separator@1.1.0
repeat-element	repeat-element@1.1.4
repeat-string	repeat-string@1.6.1
replace-ext	replace-ext@0.0.1
repo-utils	repo-utils@0.3.7
repo-utils/node_modules/is-absolute	is-absolute@0.2.6
repo-utils/node_modules/is-relative	is-relative@0.2.1
repo-utils/node_modules/is-unc-path	is-unc-path@0.1.2
repo-utils/node_modules/is-windows	is-windows@0.2.0
repo-utils/node_modules/kind-of	kind-of@3.2.2
req-cwd	req-cwd@1.0.1
req-from	req-from@1.0.1
require-uncached	require-uncached@1.0.3
require-uncached/node_modules/resolve-from	resolve-from@1.0.1
reserved	reserved@0.1.2
resolve	resolve@1.1.7
resolve-dir	resolve-dir@1.0.1
resolve-from	resolve-from@2.0.0
resolve-glob	resolve-glob@1.0.0
resolve-glob/node_modules/has-glob	has-glob@1.0.0
resolve-glob/node_modules/is-glob	is-glob@3.1.0
resolve-glob/node_modules/is-valid-glob	is-valid-glob@1.0.0
resolve-glob/node_modules/matched	matched@1.0.2
resolve-url	resolve-url@0.2.1
resolve/test/pathfilter/deep_ref/node_modules/deep	deep@1.2.3
resolve/test/resolver/biz/node_modules/garply	None@None
resolve/test/subdirs/node_modules/a	None@None
restore-cursor	restore-cursor@2.0.0
ret	ret@0.1.15
rethrow	rethrow@0.2.3
rethrow/node_modules/extend-shallow	extend-shallow@1.1.4
rethrow/node_modules/kind-of	kind-of@1.1.0
rethrow/node_modules/lazy-cache	lazy-cache@0.2.7
right-align	right-align@0.1.3
right-pad-values	right-pad-values@0.3.1
right-pad-values/node_modules/isobject	isobject@2.1.0
rimraf	rimraf@2.6.3
run-async	run-async@2.4.1
rx-lite	rx-lite@4.0.8
rx-lite-aggregates	rx-lite-aggregates@4.0.8
safe-buffer	safe-buffer@5.1.2
safe-regex	safe-regex@1.1.0
safe-regex-test	safe-regex-test@1.1.0
safer-buffer	safer-buffer@2.1.2
sections	sections@1.0.0
self-closing-tags	self-closing-tags@1.0.1
semver	semver@4.3.6
sequencify	sequencify@0.0.7
set-getter	set-getter@0.1.1
set-value	set-value@2.0.1
shallow-clone	shallow-clone@0.1.2
shallow-clone/node_modules/kind-of	kind-of@2.0.1
shallow-clone/node_modules/lazy-cache	lazy-cache@0.2.7
shebang-command	shebang-command@1.2.0
shebang-regex	shebang-regex@1.0.0
sigmund	sigmund@1.0.1
signal-exit	signal-exit@3.0.7
simple-concat	simple-concat@1.0.1
simple-get	simple-get@2.8.2
slice-ansi	slice-ansi@1.0.0
snapdragon	snapdragon@0.8.2
snapdragon-node	snapdragon-node@2.1.1
snapdragon-util	snapdragon-util@3.0.1
snapdragon-util/node_modules/kind-of	kind-of@3.2.2
snapdragon/node_modules/debug	debug@2.6.9
snapdragon/node_modules/define-property	define-property@0.2.5
snapdragon/node_modules/is-descriptor	is-descriptor@0.1.8
snapdragon/node_modules/ms	ms@2.0.0
snapdragon/node_modules/source-map	source-map@0.5.7
sort-by-value	sort-by-value@0.1.0
sort-object-arrays	sort-object-arrays@0.1.1
sort-object-arrays/node_modules/kind-of	kind-of@3.2.2
source-map	source-map@0.6.1
source-map-resolve	source-map-resolve@0.5.3
source-map-url	source-map-url@0.4.1
sparkles	sparkles@1.0.1
split-string	split-string@3.1.0
split-string/node_modules/assign-symbols	assign-symbols@1.0.0
split-string/node_modules/extend-shallow	extend-shallow@3.0.2
split-string/node_modules/is-extendable	is-extendable@1.0.1
sprintf-js	sprintf-js@1.0.3
static-extend	static-extend@0.1.2
static-extend/node_modules/define-property	define-property@0.2.5
static-extend/node_modules/is-descriptor	is-descriptor@0.1.8
stream-consume	stream-consume@0.1.1
string-width	string-width@2.1.1
string-width/node_modules/ansi-regex	ansi-regex@3.0.1
string-width/node_modules/strip-ansi	strip-ansi@4.0.0
string_decoder	string_decoder@1.1.1
stringify-author	stringify-author@0.1.3
stringify-changelog	stringify-changelog@0.2.1
stringify-changelog/node_modules/isobject	isobject@2.1.0
stringify-github-url	stringify-github-url@0.1.0
strip-ansi	strip-ansi@3.0.1
strip-bom	strip-bom@1.0.0
strip-bom-string	strip-bom-string@1.0.0
strip-color	strip-color@0.1.0
strip-json-comments	strip-json-comments@2.0.1
striptags	striptags@3.2.0
success-symbol	success-symbol@0.1.0
supports-color	supports-color@2.0.0
table	table@4.0.2
table/node_modules/ansi-styles	ansi-styles@3.2.1
table/node_modules/chalk	chalk@2.4.2
table/node_modules/supports-color	supports-color@5.5.0
temp	temp@0.8.4
template-bind-helpers	template-bind-helpers@0.2.0
template-bind-helpers/node_modules/isobject	isobject@2.1.0
template-error	template-error@0.1.2
template-error/node_modules/kind-of	kind-of@2.0.1
template-error/node_modules/lazy-cache	lazy-cache@0.2.7
template-helpers	template-helpers@0.6.7
template-helpers/node_modules/is-absolute	is-absolute@0.2.6
template-helpers/node_modules/is-number	is-number@2.1.0
template-helpers/node_modules/is-relative	is-relative@0.2.1
template-helpers/node_modules/is-unc-path	is-unc-path@0.1.2
template-helpers/node_modules/is-windows	is-windows@0.2.0
template-helpers/node_modules/kind-of	kind-of@3.2.2
template-helpers/node_modules/make-iterator	make-iterator@0.3.1
templates	templates@1.2.9
templates/node_modules/debug	debug@2.6.9
templates/node_modules/define-property	define-property@0.2.5
templates/node_modules/has-glob	has-glob@1.0.0
templates/node_modules/has-value	has-value@0.3.1
templates/node_modules/has-values	has-values@0.1.4
templates/node_modules/is-descriptor	is-descriptor@0.1.8
templates/node_modules/is-glob	is-glob@3.1.0
templates/node_modules/is-valid-app	is-valid-app@0.2.1
templates/node_modules/is-valid-instance	is-valid-instance@0.2.0
templates/node_modules/isobject	isobject@2.1.0
templates/node_modules/ms	ms@2.0.0
templates/node_modules/set-value	set-value@0.4.3
text-table	text-table@0.2.0
through	through@2.3.8
through2	through2@2.0.5
tildify	tildify@1.2.0
time-stamp	time-stamp@1.1.0
titlecase	titlecase@1.1.3
tmp	tmp@0.0.33
to-gfm-code-block	to-gfm-code-block@0.1.1
to-object-path	to-object-path@0.3.0
to-object-path/node_modules/kind-of	kind-of@3.2.2
to-regex	to-regex@3.0.2
to-regex-range	to-regex-range@2.1.1
to-regex-range/node_modules/is-number	is-number@3.0.0
to-regex-range/node_modules/kind-of	kind-of@3.2.2
to-regex/node_modules/assign-symbols	assign-symbols@1.0.0
to-regex/node_modules/define-property	define-property@2.0.2
to-regex/node_modules/extend-shallow	extend-shallow@3.0.2
to-regex/node_modules/is-extendable	is-extendable@1.0.1
tokenize-comment	tokenize-comment@1.0.3
tokenize-comment/node_modules/debug	debug@2.6.9
tokenize-comment/node_modules/define-property	define-property@0.2.5
tokenize-comment/node_modules/is-descriptor	is-descriptor@0.1.8
tokenize-comment/node_modules/kind-of	kind-of@3.2.2
tokenize-comment/node_modules/ms	ms@2.0.0
tokenize-comment/node_modules/snapdragon	snapdragon@0.11.5
tokenize-comment/node_modules/snapdragon-node	snapdragon-node@1.0.6
tokenize-comment/node_modules/snapdragon-node/node_modules/snapdragon-util	snapdragon-util@1.0.6
tokenize-comment/node_modules/snapdragon-util	snapdragon-util@2.1.1
tokenize-comment/node_modules/source-map	source-map@0.5.7
toml	toml@2.3.6
trim-leading-lines	trim-leading-lines@0.1.1
try-open	try-open@0.1.3
type-check	type-check@0.3.2
typedarray	typedarray@0.0.6
typeof-article	typeof-article@0.1.1
typeof-article/node_modules/kind-of	kind-of@3.2.2
uglify-js	uglify-js@3.19.3
unc-path-regex	unc-path-regex@0.1.2
union-value	union-value@1.0.1
unique-stream	unique-stream@1.0.0
unset-value	unset-value@1.0.0
unset-value/node_modules/has-value	has-value@0.3.1
unset-value/node_modules/has-value/node_modules/isobject	isobject@2.1.0
unset-value/node_modules/has-values	has-values@0.1.4
update-copyright	update-copyright@0.2.4
update-copyright/node_modules/has-values	has-values@0.1.4
update-copyright/node_modules/isobject	isobject@2.1.0
update-copyright/node_modules/omit-empty	omit-empty@0.3.6
update-sections	update-sections@0.1.2
update-sections/node_modules/sections	sections@0.1.10
update-year	update-year@0.5.2
update-year/node_modules/array-unique	array-unique@0.2.1
upper-case	upper-case@1.1.3
urix	urix@0.1.0
use	use@3.1.1
user-home	user-home@1.1.1
util-deprecate	util-deprecate@1.0.2
v8flags	v8flags@2.1.1
validate-npm-package-name	validate-npm-package-name@3.0.0
verb-collections	verb-collections@0.1.5
verb-defaults	verb-defaults@0.3.0
verb-defaults/node_modules/debug	debug@2.6.9
verb-defaults/node_modules/is-valid-app	is-valid-app@0.2.1
verb-defaults/node_modules/is-valid-instance	is-valid-instance@0.2.0
verb-defaults/node_modules/isobject	isobject@2.1.0
verb-defaults/node_modules/ms	ms@2.0.0
verb-generate-readme	verb-generate-readme@0.6.0
verb-generate-readme/node_modules/array-unique	array-unique@0.2.1
verb-generate-readme/node_modules/braces	braces@1.8.5
verb-generate-readme/node_modules/debug	debug@2.6.9
verb-generate-readme/node_modules/expand-brackets	expand-brackets@0.1.5
verb-generate-readme/node_modules/extglob	extglob@0.3.2
verb-generate-readme/node_modules/has-value	has-value@0.3.1
verb-generate-readme/node_modules/has-values	has-values@0.1.4
verb-generate-readme/node_modules/is-extglob	is-extglob@1.0.0
verb-generate-readme/node_modules/is-glob	is-glob@2.0.1
verb-generate-readme/node_modules/isobject	isobject@2.1.0
verb-generate-readme/node_modules/kind-of	kind-of@3.2.2
verb-generate-readme/node_modules/micromatch	micromatch@2.3.11
verb-generate-readme/node_modules/micromatch/node_modules/arr-diff	arr-diff@2.0.0
verb-generate-readme/node_modules/ms	ms@2.0.0
verb-reflinks	verb-reflinks@0.1.7
verb-reflinks/node_modules/arr-diff	arr-diff@3.0.0
verb-reflinks/node_modules/debug	debug@2.6.9
verb-reflinks/node_modules/ms	ms@2.0.0
verb-repo-data	verb-repo-data@0.1.15
verb-repo-data/node_modules/debug	debug@2.6.9
verb-repo-data/node_modules/is-valid-app	is-valid-app@0.2.1
verb-repo-data/node_modules/is-valid-instance	is-valid-instance@0.2.0
verb-repo-data/node_modules/isobject	isobject@2.1.0
verb-repo-data/node_modules/ms	ms@2.0.0
verb-repo-helpers	verb-repo-helpers@0.2.6
verb-repo-helpers/node_modules/debug	debug@2.6.9
verb-repo-helpers/node_modules/get-pkg	get-pkg@0.3.0
verb-repo-helpers/node_modules/helper-date	helper-date@0.2.3
verb-repo-helpers/node_modules/is-valid-app	is-valid-app@0.2.1
verb-repo-helpers/node_modules/is-valid-instance	is-valid-instance@0.2.0
verb-repo-helpers/node_modules/isobject	isobject@2.1.0
verb-repo-helpers/node_modules/kind-of	kind-of@3.2.2
verb-repo-helpers/node_modules/ms	ms@2.0.0
verb-toc	verb-toc@0.2.9
vinyl	vinyl@2.2.1
vinyl-fs	vinyl-fs@0.3.14
vinyl-fs/node_modules/clone	clone@0.2.0
vinyl-fs/node_modules/clone-stats	clone-stats@0.0.1
vinyl-fs/node_modules/graceful-fs	graceful-fs@3.0.12
vinyl-fs/node_modules/isarray	isarray@0.0.1
vinyl-fs/node_modules/readable-stream	readable-stream@1.0.34
vinyl-fs/node_modules/string_decoder	string_decoder@0.10.31
vinyl-fs/node_modules/through2	through2@0.6.5
vinyl-fs/node_modules/vinyl	vinyl@0.4.6
vinyl-item	vinyl-item@1.0.0
vinyl-item/node_modules/define-property	define-property@0.2.5
vinyl-item/node_modules/is-descriptor	is-descriptor@0.1.8
vinyl-sourcemaps-apply	vinyl-sourcemaps-apply@0.2.1
vinyl-sourcemaps-apply/node_modules/source-map	source-map@0.5.7
vinyl-view	vinyl-view@2.0.1
vinyl-view/node_modules/define-property	define-property@0.2.5
vinyl-view/node_modules/is-descriptor	is-descriptor@0.1.8
vinyl/node_modules/replace-ext	replace-ext@1.0.1
warning-symbol	warning-symbol@0.1.0
wcwidth	wcwidth@1.0.1
which	which@1.3.1
word-wrap	word-wrap@1.2.5
wordwrap	wordwrap@1.0.0
wrappy	wrappy@1.0.2
write	write@0.2.1
write-json	write-json@0.2.2
xtend	xtend@4.0.2
yallist	yallist@2.1.2
year	year@0.2.1
